[00:00:00.000 --> 00:00:01.360]  和我母亲死之前
[00:01:42.480 --> 00:01:45.120]  梦见的是你自己
[00:01:45.120 --> 00:01:47.400]  还是你认识的人
[00:01:47.400 --> 00:01:50.600]  别人
[00:01:50.600 --> 00:01:53.400]  赶你很亲近
[00:01:53.400 --> 00:01:55.080]  是的
[00:01:55.840 --> 00:01:57.680]  赶之到未来的时候
[00:01:57.680 --> 00:01:59.800]  一定要小心安娜琴
[00:01:59.800 --> 00:02:01.400]  对失去的恐惧
[00:02:01.400 --> 00:02:03.880]  将带你走进黑暗面
[00:02:03.880 --> 00:02:07.320]  我绝对不能让梦境
[00:02:07.320 --> 00:02:08.640]  成真诱大大师
[00:02:08.640 --> 00:02:11.080]  死亡本来就是
[00:02:11.080 --> 00:02:12.760]  生命的一部分
[00:02:12.760 --> 00:02:15.480]  你身边的人转化为原力
[00:02:15.480 --> 00:02:17.520]  你该高兴才对
[00:02:17.520 --> 00:02:19.520]  千万不要悲伤
[00:02:19.520 --> 00:02:21.040]  也不要思念
[00:02:21.040 --> 00:02:23.040]  情感会到
[00:02:23.760 --> 00:02:26.760]  猜疑是贪婪的影子
[00:02:26.760 --> 00:02:28.240]  我该怎么办
[00:02:28.240 --> 00:02:29.120]  诱大大师
[00:02:29.120 --> 00:02:31.200]  训练你自己
[00:02:31.200 --> 00:02:32.640]  放开一切
[00:02:32.640 --> 00:02:35.960]  你害怕失去的东西
[00:02:35.960 --> 00:02:48.160]  你错过了
[00:02:48.160 --> 00:02:49.640]  外围刑戏战局的报告
[00:02:49.640 --> 00:02:51.400]  不许再杀人了
[00:02:51.400 --> 00:02:52.000]  你错过了
[00:02:52.000 --> 00:02:53.760]  外围刑戏战局的报告
[00:02:53.760 --> 00:02:56.360]  抱歉有事耽误了
[00:02:56.360 --> 00:02:58.400]  是我的错
[00:02:58.400 --> 00:02:59.720]  总而言之
[00:02:59.720 --> 00:03:01.600]  战事进展得很顺利
[00:03:01.600 --> 00:03:03.200]  拿下了萨鲁卡麦
[00:03:03.200 --> 00:03:05.280]  我此大师率领不下
[00:03:05.280 --> 00:03:06.560]  来到了脖子劈他
[00:03:06.560 --> 00:03:08.400]  有什么问题吗
[00:03:08.400 --> 00:03:12.200]  今天一会儿要投票决定
[00:03:12.200 --> 00:03:13.520]  是否授予一掌
[00:03:13.520 --> 00:03:14.800]  更多的实权
[00:03:14.800 --> 00:03:16.480]  这意味着以后
[00:03:16.480 --> 00:03:18.040]  可以少开会多行动
[00:03:18.040 --> 00:03:19.320]  难道不好吗
[00:03:20.080 --> 00:03:21.800]  这样更有利于结束战争
[00:03:21.800 --> 00:03:24.920]  要低防你的朋友
[00:03:24.920 --> 00:03:26.080]  趴而趴停一掌
[00:03:26.080 --> 00:03:29.400]  低防他什么
[00:03:29.400 --> 00:03:31.320]  他要你马上去见他
[00:03:31.320 --> 00:03:32.280]  什么事
[00:03:32.280 --> 00:03:33.600]  他不肯说
[00:03:33.600 --> 00:03:36.400]  他没时间通知长老会
[00:03:36.400 --> 00:03:38.400]  是不是有些反常
[00:03:38.400 --> 00:03:40.120]  这一切都很反常
[00:03:40.120 --> 00:03:42.800]  所以才让我觉得很不安
[00:03:50.080 --> 00:03:51.840]  我希望你相信我
[00:03:51.840 --> 00:03:54.080]  我当然相信你
[00:03:54.080 --> 00:03:56.920]  我需要你的帮助
[00:03:56.920 --> 00:03:59.280]  什么意思
[00:03:59.280 --> 00:04:03.240]  我现在全靠你了
[00:04:03.240 --> 00:04:05.520]  我听不懂你说的话
[00:04:05.520 --> 00:04:08.120]  做眼睛 耳朵
[00:04:08.120 --> 00:04:09.360]  还有喉舌
[00:04:09.360 --> 00:04:10.920]  为共和国效力
[00:04:10.920 --> 00:04:13.960]  我希望你相信我
[00:04:13.960 --> 00:04:15.680]  我当然相信你
[00:04:15.680 --> 00:04:18.600]  我需要你的帮助
[00:04:19.680 --> 00:04:20.440]  阿娜Kin
[00:04:20.440 --> 00:04:23.720]  我要指派你在绝地长老会里
[00:04:23.720 --> 00:04:25.240]  做我的个人代表
[00:04:25.240 --> 00:04:26.560]  我
[00:04:26.560 --> 00:04:28.560]  绝地大师
[00:04:28.560 --> 00:04:32.600]  这个我恐怕担当不起
[00:04:32.600 --> 00:04:36.280]  长老会是自行选择成员
[00:04:36.280 --> 00:04:37.280]  不会接受我的
[00:04:37.280 --> 00:04:38.680]  我想他们会的
[00:04:38.680 --> 00:04:40.640]  他们需要你
[00:04:40.640 --> 00:04:43.480]  超乎你的想象
[00:04:49.680 --> 00:04:52.600]  长老会是不会轻易地接受
[00:04:52.600 --> 00:04:54.200]  这样的指派的
[00:04:54.200 --> 00:04:56.480]  趴而趴就一掌这样做
[00:04:56.480 --> 00:04:58.200]  让我们很为难
[00:04:58.200 --> 00:05:00.080]  我明白
[00:05:00.080 --> 00:05:02.600]  你可以列席会议
[00:05:02.600 --> 00:05:05.800]  但我们不能受于你大师的头衔
[00:05:05.800 --> 00:05:07.960]  什么
